,Unnamed: 0,True Label,Predicted_average,Predicted_supervised,actual heading
0,0,methods,methods,methods,place and duration
1,1,results,results,results,main outcome
2,2,objective,objective,objective,objective and methods
3,3,conclusions,conclusions,conclusions,mini-abstract
4,4,methods,results,results,outcomes of interest
5,5,conclusions,conclusions,conclusions,implications for case management practice
6,6,conclusions,conclusions,conclusions,interpretations and conclusions
7,7,methods,methods,methods,data analysis
8,8,conclusions,conclusions,conclusions,interpretation and conclusions
9,9,methods,methods,methods,predictor & outcome
10,10,methods,methods,methods,data acquisition
11,11,methods,methods,methods,reference test & measurements
12,12,conclusions,conclusions,conclusions,linking evidence to action
13,13,methods,methods,methods,setting(s)
14,14,background,background,background,historical overview
15,15,conclusions,conclusions,conclusions,outlook
16,16,methods,methods,methods,instruments
17,17,methods,methods,methods,outcome & measurements
18,18,conclusions,conclusions,conclusions,implications and conclusions
19,19,methods,methods,methods,instrumentation
20,20,methods,methods,methods,data sources/data collection
21,21,methods,background,background,probands
22,22,results,results,results,mechanisms of action
23,23,methods,methods,methods,design and data sources
24,24,objective,objective,objective,objects and methods
25,25,background,background,background,motivations
26,26,objective,background,background,summary introduction
27,27,methods,methods,methods,equipment and methods
28,28,conclusions,conclusions,conclusions,conclusions & inferences
29,29,objective,objective,objective,aim and methodology
30,30,background,background,background,electronic supplementary material
31,31,methods,results,results,development
32,32,methods,results,results,toxicokinetics
33,33,results,conclusions,conclusions,viewpoints
34,34,objective,objective,objective,primary study objective
35,35,methods,methods,methods,research design/methods
36,36,objective,objective,objective,evaluation aims
37,37,methods,methods,methods,material and treatment
38,38,methods,methods,methods,data extraction
39,39,methods,methods,methods,clinical cases
40,40,results,background,background,histopathology
41,41,methods,methods,methods,"design, settings, participants, & measurements"
42,42,conclusions,conclusions,conclusions,perspectives and conclusion
43,43,methods,methods,methods,method and material
44,44,methods,methods,methods,description of the system
45,45,conclusions,conclusions,conclusions,conclusions/implications for practice
46,46,methods,methods,methods,study design and method
47,47,results,results,results,key findings
48,48,methods,results,results,methods and main outcomes
49,49,methods,methods,methods,animals and interventions
50,50,objective,objective,objective,objective and importance
51,51,methods,methods,methods,"design, participants, and methods"
52,52,conclusions,conclusions,conclusions,summary statement
53,53,conclusions,conclusions,conclusions,advances in knowledge and implications for patient care
54,54,methods,methods,methods,level of evidence iii
55,55,objective,objective,objective,"background, aims & methods"
56,56,conclusions,conclusions,conclusions,principal conclusions
57,57,conclusions,conclusions,conclusions,conclusions/lessons learned
58,58,objective,objective,objective,objections
59,59,methods,methods,methods,evidence acquisition and synthesis
60,60,methods,methods,methods,methodological quality
61,61,methods,methods,methods,materials/patients and methods
62,62,results,results,results,methodology/findings
63,63,methods,methods,methods,data collection/analysis
64,64,objective,background,background,fundamentals
65,65,objective,methods,methods,introduction and design
66,66,results,results,results,outcomes and results
67,67,objective,conclusions,conclusions,introduction and potentials of classical radiotherapy
68,68,conclusions,conclusions,conclusions,conclusion and recommendation
69,69,objective,objective,objective,purpose
70,70,methods,methods,methods,postoperative management
71,71,background,background,background,ethnopharmacological significance
72,72,methods,methods,methods,technical note
73,73,results,results,results,methods and findings
74,74,methods,methods,methods,"design, settings, and patients"
75,75,methods,methods,methods,study subjects and methods
76,76,results,results,results,major findings
77,77,conclusions,conclusions,conclusions,conclusions / implications for practice
78,78,methods,methods,methods,primary outcome
79,79,methods,methods,methods,main outcome measure(s)
80,80,methods,methods,methods,"model, perspective, & timeframe"
81,81,methods,methods,methods,methods of study selection
82,82,results,results,results,methodology and principal findings
83,83,conclusions,conclusions,conclusions,conclusions and relevance to clinical practice
84,84,methods,methods,methods,project description
85,85,methods,methods,methods,patients and study design
86,86,methods,methods,methods,participants and intervention
87,87,conclusions,conclusions,conclusions,practical applications
88,88,objective,objective,objective,context and objective
89,89,conclusions,conclusions,conclusions,results & discussion
90,90,background,background,background,importance of the field
91,91,conclusions,conclusions,conclusions,summary answer
92,92,background,background,background,sponsor
93,93,methods,methods,methods,"design, setting, patients, and intervention"
94,94,methods,methods,methods,article selection
95,95,conclusions,conclusions,conclusions,results and/or conclusions
96,96,methods,results,results,case results
97,97,objective,objective,objective,problem statement and background
98,98,methods,methods,methods,statistical analysis
99,99,methods,methods,methods,evaluation design
100,100,background,background,background,reasons for performing study
101,101,results,results,results,"patients, methods and results"
102,102,objective,objective,objective,background/objective
103,103,conclusions,conclusions,conclusions,key points
104,104,objective,objective,objective,introduction/aim
105,105,methods,methods,methods,patients and controls
106,106,results,results,results,preliminary results
107,107,methods,methods,methods,volunteers
108,108,conclusions,conclusions,conclusions,implication for further research
109,109,methods,methods,methods,case presentation
110,110,methods,methods,methods,methods and design
111,111,results,results,results,pathological findings
112,112,methods,methods,methods,outcomes & measures
113,113,methods,methods,methods,data selection
114,114,methods,methods,methods,phenomena of interest
115,115,methods,methods,methods,data sources and methods
116,116,background,background,background,definitions
117,117,methods,methods,methods,subjects/samples
118,118,results,methods,methods,laboratory findings
119,119,conclusions,conclusions,conclusions,"limitations, reason for caution"
120,120,methods,methods,methods,case report and methods
121,121,results,results,results,essential results
122,122,objective,objective,objective,introduction and proposed study
123,123,methods,conclusions,conclusions,centers
124,124,methods,methods,methods,methods and procedure
125,125,methods,methods,methods,observational procedure
126,126,results,results,results,side effects
127,127,methods,methods,methods,experimental approach
128,128,methods,methods,methods,design/measurements
129,129,objective,objective,objective,purpose/objective
130,130,objective,objective,objective,objective and participants
131,131,methods,methods,methods,materials and materials
132,132,methods,methods,methods,subject & methods
133,133,objective,objective,objective,goal and methods
134,134,objective,objective,objective,goals of the study
135,135,methods,methods,methods,data collection methods
136,136,objective,objective,objective,aim and method
137,137,objective,methods,methods,scope of the review
138,138,methods,methods,methods,methods & design
139,139,methods,methods,methods,study design and participants
140,140,methods,methods,methods,population or sample
141,141,objective,objective,objective,purpose and patients and methods
142,142,methods,methods,methods,sample and methodology
143,143,methods,methods,methods,description of systems
144,144,methods,methods,methods,study group and methods
145,145,methods,methods,methods,outcome measure(s)
146,146,objective,objective,objective,problem and method
147,147,background,background,background,registration number
148,148,methods,methods,methods,patients (or participants)
149,149,objective,objective,objective,objective and background data
150,150,methods,methods,methods,case record
151,151,methods,methods,methods,settings/location
152,152,conclusions,conclusions,conclusions,growing points
153,153,methods,methods,methods,"design, subjects and setting"
154,154,methods,methods,methods,statistical method
155,155,methods,methods,methods,strategy
156,156,conclusions,conclusions,conclusions,implications for future research
157,157,conclusions,conclusions,conclusions,perspectives
158,158,results,methods,methods,course and treatment
159,159,results,results,results,background and results
160,160,methods,methods,methods,study-design
161,161,objective,objective,objective,goals and background
162,162,conclusions,conclusions,conclusions,significance and impact of study
163,163,results,results,results,results/outcomes
164,164,methods,methods,methods,patient case
165,165,conclusions,conclusions,conclusions,development and conclusions
166,166,methods,methods,methods,"investigations, treatment and course"
167,167,methods,methods,methods,methodological design
168,168,background,methods,methods,instruction
169,169,background,background,background,summary of background data
170,170,methods,methods,methods,research method/design
171,171,methods,methods,methods,databases
172,172,conclusions,conclusions,conclusions,conclusions and outlook
173,173,methods,methods,methods,methods & outcome measures
174,174,methods,methods,methods,design/patients
175,175,objective,objective,objective,object of study
176,176,methods,methods,methods,study method
177,177,results,results,results,key issue
178,178,methods,methods,methods,background & materials and methods
179,179,background,background,background,principle
180,180,methods,methods,methods,outcome measurements
181,181,conclusions,conclusions,conclusions,summary/conclusions
182,182,results,results,results,interventions and main results
183,183,methods,methods,methods,patients--methods
184,184,results,results,results,main finding
185,185,results,results,results,therapy and results
186,186,objective,objective,objective,purpose of review
187,187,methods,methods,methods,"design, patients and setting"
188,188,methods,methods,methods,quality of evidence
189,189,objective,objective,objective,the aim of our study
190,190,background,background,background,descriptor
191,191,objective,objective,objective,introduction and object
192,192,conclusions,conclusions,conclusions,conclusions and implications
193,193,methods,methods,methods,subjects and design
194,194,background,background,background,rationale and background
195,195,objective,objective,objective,definition of the problem
196,196,methods,methods,methods,calculations
197,197,methods,methods,methods,second case
198,198,methods,methods,methods,clinical application
199,199,objective,objective,objective,specific objectives
200,200,methods,methods,methods,subjects and treatment
201,201,methods,methods,methods,measurements and analysis
202,202,background,background,background,accme accreditation
203,203,methods,methods,methods,population and methods
204,204,methods,methods,methods,patients and interventions
205,205,conclusions,conclusions,conclusions,major conclusion
206,206,methods,methods,methods,factors
207,207,conclusions,conclusions,conclusions,areas timely for developing research
208,208,background,background,background,keywords
209,209,methods,methods,methods,design and measures
210,210,results,methods,methods,innovations
211,211,methods,methods,methods,review strategy
212,212,methods,methods,methods,reviewers
213,213,objective,objective,objective,objectives/methods
214,214,results,results,results,methodology and principal finding
215,215,conclusions,conclusions,conclusions,summary and discussion
216,216,methods,methods,methods,subjects/settings
217,217,conclusions,conclusions,conclusions,what is new and conclusion
218,218,methods,methods,methods,instruments and methods
219,219,background,background,background,audience
220,220,objective,objective,objective,overall article objectives
221,221,results,methods,methods,safety
222,222,methods,methods,methods,taxonomy
223,223,conclusions,background,background,conditions
224,224,methods,methods,methods,presentation of case
225,225,methods,methods,methods,predictors & outcomes
226,226,methods,methods,methods,intervention
227,227,methods,methods,methods,outcomes & measurements
228,228,background,background,background,foundation
229,229,methods,methods,methods,animal
230,230,objective,objective,objective,purpose and methods
231,231,methods,methods,methods,primary practice setting(s)
232,232,objective,objective,objective,questioning
233,233,background,background,background,background/significance
234,234,objective,objective,objective,basic problem and objective of study
235,235,methods,methods,methods,methodical innovations
236,236,objective,objective,objective,guideline questions
237,237,conclusions,conclusions,conclusions,main conclusion
238,238,methods,methods,methods,exposure measures
239,239,methods,methods,methods,measurement
240,240,objective,objective,objective,short introduction
241,241,conclusions,conclusions,conclusions,results and limitations
242,242,conclusions,conclusions,conclusions,lessons and messages
243,243,results,methods,methods,disease control
244,244,methods,methods,methods,participants and methods
245,245,objective,objective,objective,purpose of investigation
246,246,methods,methods,methods,animals and methods
247,247,methods,results,results,therapy
248,248,methods,methods,methods,method & materials
249,249,methods,methods,methods,history and clinical finding
250,250,conclusions,conclusions,conclusions,study limitation
251,251,methods,methods,methods,design/methodology/approach
252,252,methods,conclusions,conclusions,place
253,253,objective,objective,objective,objective and setting
254,254,methods,methods,methods,final diagnosis
255,255,results,results,results,what the readers will gain
256,256,methods,methods,methods,experimental methods
257,257,methods,methods,methods,evidence-based analysis methods
258,258,methods,methods,methods,subjects and outcome measures
259,259,conclusions,conclusions,conclusions,summary and conclusion
260,260,methods,methods,methods,treatments
261,261,methods,methods,methods,main outcome measured
262,262,methods,methods,methods,program description
263,263,methods,methods,methods,animal or sample population
264,264,methods,methods,methods,"design, participants"
265,265,objective,objective,objective,"objective, design, and setting"
266,266,objective,objective,objective,objectives and setting
267,267,objective,objective,objective,background/aims
268,268,conclusions,conclusions,conclusions,significance
269,269,methods,conclusions,conclusions,perspective (values)
270,270,conclusions,conclusions,conclusions,conclusions & clinical relevance
271,271,conclusions,conclusions,conclusions,interpretation/conclusions
272,272,methods,methods,methods,design and volunteers
273,273,methods,methods,methods,data extraction and analysis
274,274,methods,methods,methods,"design, subjects and methods"
275,275,background,objective,objective,mini summary
276,276,objective,objective,objective,purpose/objectives
277,277,conclusions,conclusions,conclusions,lessons learnt
278,278,objective,objective,objective,"rational, aims and objectives"
279,279,methods,methods,methods,"design, setting, patients"
280,280,objective,background,background,community context
281,281,objective,objective,objective,purpose and background
282,282,methods,methods,methods,main outcome and measurements
283,283,methods,methods,methods,research design and subjects
284,284,methods,methods,methods,research method and procedures
285,285,methods,methods,methods,methods and population
286,286,methods,methods,methods,materials & methods
287,287,conclusions,conclusions,conclusions,results and conclusion
288,288,results,results,results,findings and outcomes
289,289,conclusions,conclusions,conclusions,development and conclusion
290,290,methods,methods,methods,investigated group
291,291,methods,methods,methods,material of study
292,292,methods,methods,methods,search strategy
293,293,methods,methods,methods,methods
294,294,results,results,results,summary of important findings
295,295,methods,methods,methods,settings and participants
296,296,background,background,background,current knowledge and key points
297,297,results,results,results,outcome measures and results
298,298,methods,objective,objective,concept
299,299,objective,objective,objective,the aim of study
300,300,conclusions,conclusions,conclusions,conclusion/implications
301,301,objective,objective,objective,study aims
302,302,background,background,background,availability and supplementary information
303,303,methods,methods,methods,clinical study
